시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자
논현1동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 학동로20길 25,,37.5115031,127.028508,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/19,03/45,03/55,03/37,2015-07-23,1666-0339,서울특별시 강남구 논현1동주민센터,02-3423-7420,2026-03-24
대치2동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 영동대로 65길 24,,37.502306,127.064157,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/19,03/45,03/55,03/37,2017-06-01,1666-0339,서울특별시 강남구 대치2동주민센터,02-3423-8420,2026-03-24
대치4동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 도곡로77길 23,,37.49972974,127.0578474,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/47,03/45,03/55,03/37,2014-05-30,1666-0339,서울특별시 강남구 대치4동주민센터,02-3423-8520,2026-03-24
도곡1동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 도곡로18길 57,,37.4883118,127.0388787,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/19,03/45,03/55,03/37,2017-05-30,1666-0339,서울특별시 강남구 도곡1동주민센터,02-3423-7470,2026-03-24
도곡2동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 남부순환로378길 34-9,,37.48372308,127.046448,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/26,03/45,03/55,03/37,2013-06-01,1666-0339,서울특별시 강남구 도곡2동주민센터,02-3423-7570,2026-03-24
역삼청소년센터,서울특별시,강남구,11680,서울특별시 강남구 논현로64길 7,,37.4939731,127.0409125,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/12,03/45,03/55,03/37,2019-05-22,1666-0339,역삼청소년센터,02-550-3612,2026-03-24
역삼1동 주민센터,서울특별시,강남구,11680,서울특별시 강남구 역삼로7길 16,,37.49537321,127.0332838,00:00,23:59,00:00,23:59,00:00,23:59,48,1,1000,02,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중소형/03,03/19,03/45,03/55,03/37,2020-07-01,1666-0339,서울특별시 강남구 역삼1동주민센터,02-3423-8646,2026-03-24
