신호등명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
강남구청역,서울시 강남구 학동로 402,서울시 강남구 삼성동 1,서울특별시 강남구,37.51718,127.041414,2022-09-22
도성초교사거리,서울시 강남구 선릉로 402,대치동 907-15,서울특별시 강남구,37.500627,127.050914,2022-09-22
르네상스호텔,서울시 강남구 테헤란로 231,역삼동 676,서울특별시 강남구,37.502705,127.042501,2022-09-22
삼성중앙역,서울시 강남구 삼성로 575,삼성동 119-2,서울특별시 강남구,37.512993,127.053245,2022-09-22
청담공원교차로,서울시 강남구 삼성로 654,삼성동 52,서울특별시 강남구,37.518827,127.050237,2022-09-22
봉은사사거리,서울시 강남구 봉은사로 516,삼성동 147-2,서울특별시 강남구,37.513531,127.056323,2022-09-22
묘동유치원,서울시 강남구 도곡로 442,대치동 1022-2,서울특별시 강남구,37.498224,127.058801,2022-09-22
도곡초 앞,서울시 강남구 선릉로 311,역삼동 765-7,서울특별시 강남구,37.497431,127.0523,2022-09-22
강남경찰서,서울시 강남구 테헤란로 626,대치동 997-4,서울특별시 강남구,37.509779,127.066365,2022-09-22
청실종합상가,서울시 강남구 남부순환로 2917,대치동 626,서울특별시 강남구,37.49282,127.059217,2022-09-22
개포레미안포레스트입구,서울시 강남구 개포로 263,개포동 655,서울특별시 강남구,37.480166,127.052167,2022-09-22
왕북초,서울시 강남구 광평로31길 74,수서동 745,서울특별시 강남구,37.485585,127.087239,2022-09-22
세곡중학교,서울시 강남구 자곡로 81,자곡동 617,서울특별시 강남구,37.470998,127.09238,2022-09-22
율현초교앞,서울시 강남구 밤고개로21길 15,자곡동 689,서울특별시 강남구,37.473872,127.107872,2022-09-22
대청초교,서울시 강남구 양재대로55길 27,일원동 643-3,서울특별시 강남구,37.492634,127.087318,2022-09-22
언주초,서울시 강남구 남부순환로363길 16,도곡동 902-2,서울특별시 강남구,37.486324,127.037958,2022-09-22
우성2차201동앞,서울시 강남구 도곡로 531,대치동 986-6,서울특별시 강남구,37.500081,127.064655,2022-09-22
르엘대치정문앞,서울시 강남구 도곡로93길 23,대치동 977-8,서울특별시 강남구,37.501603,127.065095,2022-09-22
센트럴아이파크 연동,서울시 강남구 삼성로 634,삼성동 65-5,서울특별시 강남구,37.516411,127.051481,2022-09-22
대치사거리,서울시 강남구 삼성로 352,대치동 961,서울특별시 강남구,37.503112,127.058725,2022-09-22
개포2동주민센터,서울시 강남구 개포로 511,개포동 182,서울특별시 강남구,37.489552,127.069121,2022-09-22
영동5교,서울시 강남구 삼성로 40,개포동 186,서울특별시 강남구,37.489148,127.066094,2022-09-22
강남세브란스,서울시 강남구 언주로 301,역삼동 785-13,서울특별시 강남구,37.494089,127.046522,2022-09-22
도곡역,서울시 강남구 남부순환로 2912,대치동 500,서울특별시 강남구,37.4911,127.05552,2022-09-22
경남아파트 앞,서울시 강남구 언주로 107,개포동 654,서울특별시 강남구,37.483143,127.052488,2022-09-22
일원우체국,서울시 강남구 양재대로55길 14,일원동 712-3,서울특별시 강남구,37.491671,127.08783,2022-09-22
