점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
GS25 논현보람점,서울특별시,강남구,11680,서울특별시 강남구 선릉로121길 15,,37.5136671,127.0410001,,서울강남경찰서,,Y,2026-01-29
GS25 논현이편한점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로11길 12,,37.50674207,127.0289875,,서울강남경찰서,,Y,2026-01-29
CU 개포사랑점,서울특별시,강남구,11680,서울특별시 강남구 선릉로10길 4,,37.48311645,127.060656,,서울수서경찰서,,Y,2026-01-29
GS25 논현학동점,서울특별시,강남구,11680,서울특별시 강남구 논현로146길 11,,37.51822062,127.0299073,,서울강남경찰서,,Y,2026-01-29
GS25 논현한영점,서울특별시,강남구,11680,서울특별시 강남구 논현로114길 11,,37.50882736,127.0343009,,서울강남경찰서,,Y,2026-01-29
GS25 도곡럭키본점,서울특별시,강남구,11680,서울특별시 강남구 남부순환로365길 56,,37.48903939,127.0402449,,서울수서경찰서,,Y,2026-01-29
GS25 도곡점,서울특별시,강남구,11680,서울특별시 강남구 남부순환로 2730,,37.4857031,127.044693,,서울수서경찰서,,Y,2026-01-29
GS25 삼성그린점,서울특별시,강남구,11680,서울특별시 강남구 삼성로107길 31,,37.5107392,127.0515468,,서울강남경찰서,,Y,2026-01-29
GS25 삼성승리점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로63길 17,,37.506364,127.050027,,서울강남경찰서,,Y,2026-01-29
GS25 삼성한울점,서울특별시,강남구,11680,서울특별시 강남구 삼성로119길 37,,37.5153096,127.048545,,서울강남경찰서,,Y,2026-01-29
GS25 세곡래미안점,서울특별시,강남구,11680,서울특별시 강남구 자곡로 101,,37.4726559,127.0958063,,서울수서경찰서,,N,2026-01-29
GS25 신사초롱점,서울특별시,강남구,11680,서울특별시 강남구 논현로153길 46,,37.52051764,127.024426,,서울강남경찰서,,Y,2026-01-29
GS25 역삼2점,서울특별시,강남구,11680,서울특별시 강남구 역삼로14길 7,,37.4940425,127.0355007,,서울강남경찰서,,Y,2026-01-29
CU 논현강남점,서울특별시,강남구,11680,서울특별시 강남구 선릉로131길 25,,37.5171263,127.038928,,서울강남경찰서,,Y,2026-01-29
GS25 역삼대홍점,서울특별시,강남구,11680,서울특별시 강남구 논현로63길 19,,37.4924317,127.039223,,서울강남경찰서,,Y,2026-01-29
GS25 역삼블루점,서울특별시,강남구,11680,서울특별시 강남구 도곡로21길 18,,37.4932542,127.0388231,,서울수서경찰서,,Y,2026-01-29
GS25 역삼사랑점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로55길 27,,37.5059701,127.046548,,서울강남경찰서,,Y,2026-01-29
GS25 역삼소망점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로26길 26,,37.505404,127.033641,,서울강남경찰서,,Y,2026-01-29
GS25 역삼싱아점,서울특별시,강남구,11680,서울특별시 강남구 논현로72길 13,,37.49584009,127.0405163,,서울강남경찰서,,Y,2026-01-29
GS25 역삼아워홈점,서울특별시,강남구,11680,서울특별시 강남구 역삼로3길 10,,37.4942198,127.0316173,,서울강남경찰서,,Y,2026-01-29
GS25 역삼제일점,서울특별시,강남구,11680,서울특별시 강남구 언주로108길 6,,37.50782724,127.040098,,서울강남경찰서,,Y,2026-01-29
GS25 역삼지에스점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로30길 78,,37.5024499,127.037017,,서울강남경찰서,,Y,2026-01-29
GS25 역삼테헤란점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로33길 7,,37.502262,127.039234,,서울강남경찰서,,Y,2026-01-29
GS25 일원으뜸점,서울특별시,강남구,11680,서울특별시 강남구 일원로5길 6,,37.4906218,127.0814726,,서울수서경찰서,,Y,2026-01-29
CU 대치기량점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 406,,37.5011164,127.050858,,서울수서경찰서,,Y,2026-01-29
